chzzk_id,name_ko,name_en,unit,followers,total_vods
b5ed5db484d04faf4d150aedd362f34b,강지,Kangji,STELLIVE,289146,300
45e71a76e949e16a34764deb962f9d9f,아야츠노 유니,Ayatsuno Yuni,EVERYS,303100,300
36ddb9bb4f17593b60f1b63cec86611d,사키하네 후야,Sakihane Huya,EVERYS,158039,249
b044e3a3b9259246bc92e863e7d3f3b8,시라유키 히나,Shirayuki Hina,UNIVERSE,237444,300
4515b179f86b67b4981e16190817c580,네네코 마시로,Neneko Mashiro,UNIVERSE,211287,300
4325b1d5bbc321fad3042306646e2e50,아카네 리제,Akane Lize,UNIVERSE,254612,300
a6c4ddb09cdb160478996007bff35296,아라하시 타비,Arahashi Tabi,UNIVERSE,257005,300
64d76089fba26b180d9c9e48a32600d9,텐코 시부키,Tenko Shibuki,CLICHE,242498,300
516937b5f85cbf2249ce31b0ad046b0f,아오쿠모 린,Aokumo Rin,CLICHE,221241,300
4d812b586ff63f8a2946e64fa860bbf5,하나코 나나,Hanako Nana,CLICHE,209163,300
8fd39bb8de623317de90654718638b10,유즈하 리코,Yuzuha Riko,CLICHE,211105,300
