group,cohort,generation,debut_date,channel_id,name_ko,name_en,subscribers,total_views,video_count,created_at
StelLive,2023 데뷔,1기 MYSTIC,2023-01-08,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,361000,198058613,740,2022-12-20T18:25:09.738437Z
StelLive,2025 데뷔,1기 EVERYS(신규),2025-09-20,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,135000,53700636,340,2025-09-16T10:33:13.484328Z
StelLive,2023 데뷔,2기 UNIVERSE,2023-06-10,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,320000,194825673,620,2023-06-01T11:42:49.359854Z
StelLive,2023 데뷔,2기 UNIVERSE,2023-06-10,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,184000,62460254,428,2023-06-01T11:33:30.823588Z
StelLive,2023 데뷔,2기 UNIVERSE,2023-06-11,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,356000,307876915,610,2023-06-01T11:50:41.527518Z
StelLive,2023 데뷔,2기 UNIVERSE,2023-06-11,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,262000,190210647,792,2023-06-01T11:48:28.671861Z
StelLive,2024 데뷔,3기 CLICHE,2024-05-18,UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,Tenko Shibuki,230000,200160649,628,2024-05-14T10:02:13.057547Z
StelLive,2024 데뷔,3기 CLICHE,2024-05-18,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,Aokumo Rin,284000,190900105,445,2024-05-14T10:09:58.99504Z
StelLive,2024 데뷔,3기 CLICHE,2024-05-19,UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,Hanako Nana,207000,160645802,502,2024-05-14T10:18:50.368619Z
StelLive,2024 데뷔,3기 CLICHE,2024-05-19,UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,Yuzuha Riko,222000,186988274,577,2024-05-14T10:16:40.978487Z
