date,name_ko,group,subscribers,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
2026-08-12,가우르 구라,홀로라이브,4610000,1251428.1,0.07283,0.8,0.271
2026-08-12,고세구,이세계아이돌,537000,99105.9,0.05643,4.51,0.185
2026-08-12,네네코 마시로,StelLive,180000,90975.8,0.05028,1.88,0.505
2026-08-12,릴파,이세계아이돌,428000,85262.2,0.07091,6.77,0.199
2026-08-12,모리 캘리오프,홀로라이브,2620000,193097.2,0.10058,4.83,0.074
2026-08-12,모모스즈 네네,홀로라이브,1330000,110422.5,0.08487,3.56,0.083
2026-08-12,비챤,이세계아이돌,326000,46274.4,0.0892,7.0,0.142
2026-08-12,사키하네 후야,StelLive,130000,97191.9,0.0469,3.44,0.748
2026-08-12,시라유키 히나,StelLive,319000,136663.0,0.04417,3.69,0.428
2026-08-12,아라하시 타비,StelLive,255000,173111.8,0.03971,3.98,0.679
2026-08-12,아야츠노 유니,StelLive,358000,119713.6,0.04002,3.12,0.334
2026-08-12,아이네,이세계아이돌,359000,131206.3,0.04964,1.88,0.365
2026-08-12,아카네 리제,StelLive,347000,257785.4,0.04401,5.49,0.743
2026-08-12,우사다 페코라,홀로라이브,2790000,264149.0,0.04847,8.83,0.095
2026-08-12,이누가미 코로네,홀로라이브,2280000,222125.7,0.06041,3.62,0.097
2026-08-12,주르르,이세계아이돌,411000,84586.0,0.05703,1.88,0.206
2026-08-12,징버거,이세계아이돌,421000,128199.2,0.05464,4.23,0.305
2026-08-12,호쇼 마린,홀로라이브,4400000,808286.8,0.06564,3.76,0.184
2026-08-13,가우르 구라,홀로라이브,4610000,1252165.1,0.07282,0.8,0.272
2026-08-13,고세구,이세계아이돌,537000,99603.8,0.05579,4.41,0.185
2026-08-13,네네코 마시로,StelLive,180000,91653.1,0.05003,1.88,0.509
2026-08-13,릴파,이세계아이돌,428000,88420.7,0.06656,6.55,0.207
2026-08-13,모리 캘리오프,홀로라이브,2620000,201004.8,0.09541,5.34,0.077
2026-08-13,모모스즈 네네,홀로라이브,1330000,113872.1,0.08363,3.5,0.086
2026-08-13,비챤,이세계아이돌,326000,46816.9,0.08821,7.0,0.144
2026-08-13,사키하네 후야,StelLive,130000,101792.2,0.04496,3.44,0.783
2026-08-13,시라유키 히나,StelLive,319000,139162.7,0.03936,3.69,0.436
2026-08-13,아라하시 타비,StelLive,255000,176404.7,0.03912,4.06,0.692
2026-08-13,아야츠노 유니,StelLive,358000,121264.0,0.03982,3.12,0.339
2026-08-13,아이네,이세계아이돌,359000,132730.3,0.04945,1.88,0.37
2026-08-13,아카네 리제,StelLive,348000,270248.3,0.04089,5.49,0.777
2026-08-13,우사다 페코라,홀로라이브,2790000,259418.4,0.04991,8.46,0.093
2026-08-13,이누가미 코로네,홀로라이브,2280000,196919.9,0.06014,3.62,0.086
2026-08-13,주르르,이세계아이돌,411000,85455.4,0.05661,1.88,0.208
2026-08-13,징버거,이세계아이돌,421000,127665.3,0.05491,4.23,0.303
2026-08-13,호쇼 마린,홀로라이브,4400000,789523.3,0.06378,4.72,0.179
2026-08-14,가우르 구라,홀로라이브,4610000,1252565.8,0.07281,0.8,0.272
2026-08-14,고세구,이세계아이돌,537000,100364.2,0.05534,4.41,0.187
2026-08-14,네네코 마시로,StelLive,180000,90723.5,0.05132,1.9,0.504
2026-08-14,릴파,이세계아이돌,428000,90339.9,0.06541,6.55,0.211
2026-08-14,모리 캘리오프,홀로라이브,2620000,203668.0,0.09472,5.34,0.078
2026-08-14,모모스즈 네네,홀로라이브,1330000,115418.8,0.08311,3.5,0.087
2026-08-14,비챤,이세계아이돌,326000,46092.0,0.09107,6.55,0.141
2026-08-14,사키하네 후야,StelLive,130000,105609.5,0.04401,3.44,0.812
2026-08-14,시라유키 히나,StelLive,319000,140098.9,0.03907,3.69,0.439
2026-08-14,아라하시 타비,StelLive,255000,178548.6,0.03868,4.06,0.7
2026-08-14,아야츠노 유니,StelLive,359000,121368.4,0.03976,2.9,0.338
2026-08-14,아이네,이세계아이돌,359000,133697.2,0.04935,1.88,0.372
2026-08-14,아카네 리제,StelLive,348000,273716.4,0.04082,5.34,0.787
2026-08-14,우사다 페코라,홀로라이브,2790000,260442.9,0.04985,8.12,0.093
2026-08-14,이누가미 코로네,홀로라이브,2280000,198021.6,0.05976,3.62,0.087
2026-08-14,주르르,이세계아이돌,411000,85826.1,0.05644,1.88,0.209
