video_id,channel_id,name_ko,name_en,unit,title,published_at,duration,views,likes,comments
uoEToKJ2-z4,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,오프 행사에서 난리 났었다는 강지의 그 복장,2026-08-12T07:00:29Z,PT16M6S,12406,1136,211.0
eGZABi6R-HY,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,스텔라이브 사장인 내가 이세계에서는 아카데미 학생?!,2026-08-10T07:00:34Z,PT12M34S,51469,1363,113.0
r10VkdWJVDc,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,그쯤 하시지요 어머니...,2026-08-09T05:00:05Z,PT12M57S,208954,5596,351.0
nFFWg3tvgdU,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,대가리가 너무 커진 딸내미들 (진짜 큼),2026-08-08T05:00:34Z,PT23M17S,124286,2829,145.0
C-VhFyKgkQc,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,아니 장작이 혼자 탄다니까? #강지 #김블루 #감자툰,2026-08-06T07:03:01Z,PT56S,275524,15667,385.0
9VDFZAb2fUY,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,이럴 땐 어떤 표정을 지어야 할지 모르겠어,2026-08-05T07:00:15Z,PT12M2S,184133,3847,149.0
mYI4q_bFnqM,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,본인이 덕질하려고 아이돌 키우는 사장,2026-08-02T07:17:09Z,PT14M3S,116769,3519,125.0
aQlIRVwwZPs,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,딸내미 제대로 된 자취방 구해주기,2026-08-01T05:00:13Z,PT14M57S,137363,3130,85.0
auF8ni12o7o,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,딸들 앞에서는 아무래도 입조심을 하게 된다...,2026-07-30T07:00:40Z,PT19M37S,315117,7350,242.0
RlHhOcxnYII,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,최근 강지가 지구상에서 매일 1그램씩 사라지고 있다는 사실을 아시나요?,2026-07-28T07:00:07Z,PT12M24S,515610,9055,793.0
tPmNJ6dXXUY,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,적나라한 픽셀 네트워크 사내 따돌림의 현장,2026-07-26T05:00:38Z,PT15M27S,104640,2262,88.0
1lQQB9Lqk4Y,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,이런 옷이 대체 왜 있는 건데?!,2026-07-25T05:25:27Z,PT13M25S,136609,2973,136.0
NJiJO-tTlHw,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,귀여운 강아가(?) #감자툰 #쇼츠 #리제,2026-07-24T07:12:59Z,PT45S,294913,14184,181.0
wVEXvr-984I,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,요새 내 절친이 연락이 안 되는 이유,2026-07-22T07:30:38Z,PT11M4S,333373,7541,348.0
nsV1HkZS5VI,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,데헷 걸렸네 ᐠ( ᐢ ⩊ ᐢ )ᐟ #감자툰 #김블루 #쇼츠,2026-07-20T07:20:39Z,PT48S,525498,30697,459.0
tfx6jtGZmFc,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,어...?,2026-07-19T05:00:40Z,PT13M42S,281268,5595,206.0
gfavZZTNYP8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,'둘이 왜 같이 있어?',2026-07-18T05:00:18Z,PT15M7S,268527,5297,385.0
SnphXZcC-9w,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,이 집안의 용돈 흐름,2026-07-15T07:00:16Z,PT13M11S,334403,8521,551.0
v3fu9ywdWDA,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,넥슨에게 무지성 경제 보복이 가능한 스트리머,2026-07-12T05:00:06Z,PT13M44S,202477,3288,345.0
J3aC5GFGw2c,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,결국 찌라시에 박차를 가하는 두 사람...,2026-07-11T05:00:34Z,PT15M17S,441357,11962,1184.0
993GZ8u7Pts,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,아이돌을 뽑은 건지 강육수를 뽑은 건지 슬슬 헷갈리는 강지면 개추,2026-07-08T07:00:22Z,PT14M9S,168033,4469,224.0
FskX6WO1W9k,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,여기서 뭐해요 언니? #강지 #감자툰 #쇼츠,2026-07-07T07:00:15Z,PT44S,287282,9701,77.0
aZFr0Fyxz40,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,데뷔 전 '다크 히나'를 아시나요,2026-07-05T05:00:16Z,PT13M29S,191811,5029,300.0
3g0vX9ihXZ8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"""아~ 이 선수 과감해요!""",2026-07-04T05:00:11Z,PT15M14S,139554,4152,202.0
50CXUtdIXVo,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"""지누야 돈 내놔, 누나 좀 쓰게""",2026-07-02T07:00:37Z,PT12M45S,129442,2790,112.0
u7gNnfvO5ls,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,최신 팩에서도 그 녀석 뽑아버리며 또 증명해버린 역대급 운뚱땡이,2026-06-30T07:00:03Z,PT14M9S,252498,4906,287.0
lgByrv8nAu0,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,대참사가 날 뻔했던 스텔콘,2026-06-28T08:04:35Z,PT13M15S,167518,4274,149.0
InGfdTxvmIE,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,샵 다녀온 사장님을 보자마자 단체 매혹 걸려버린 딸내미들,2026-06-27T05:00:18Z,PT12M57S,241767,6310,381.0
ZQd383o8DQ0,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,감자가 자주 넘어지는 이유 #감자툰 #쇼츠,2026-06-26T07:00:23Z,PT39S,209458,8758,215.0
hRJLK9F7H1k,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"아무도 모른다,내가 수백억의 재산을 가진 스트리머라는 사실을",2026-06-25T07:00:36Z,PT14M,149593,3476,203.0
5_qiYe4V0-I,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,엄마한테 잔소리하는 효녀 #강지 #감자툰 #쇼츠,2026-06-24T07:35:33Z,PT34S,245731,10950,129.0
y_owGKvLbFo,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,사장 오피셜 스텔라이브 음흉녀 라인,2026-06-23T07:00:30Z,PT16M20S,127860,3400,154.0
bbQl4nloVhQ,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,므쨍이 감자 #강지 #쇼츠 #토마토,2026-06-22T08:04:42Z,PT16S,198766,9506,274.0
S7ap0LKirQQ,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,탬탬버린이 학창시절 유명했던 이유,2026-06-21T08:00:34Z,PT21M19S,264031,4990,246.0
EWAV9iCHbGE,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"""딸~ 엄마 지금 일하는 중이잖아~""",2026-06-20T06:12:17Z,PT13M4S,149752,3753,180.0
pbKHuoiFHVA,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,사실 오디션에서 탈락할 뻔했던 여우신,2026-06-18T07:00:07Z,PT15M55S,159105,4172,143.0
tIs_w6athKI,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,[감자TV]💥오늘은로블록스들어가서잼민이들손목을비틀어볼게요💦,2026-06-14T05:00:09Z,PT13M14S,59757,1812,163.0
LQ5gMBgWdDI,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,그 대회 이후 지누에게 시달리고 있습니다...,2026-06-13T05:00:19Z,PT12M43S,160312,3365,167.0
kdNFm6xgubw,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,결국 봉인이 풀려버린 김진우,2026-06-11T07:00:23Z,PT16M33S,299782,5291,246.0
b6UrW-KNbjI,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,제가 보기에도 그런 거 같아요...,2026-06-09T07:00:03Z,PT19M43S,81797,1747,83.0
utKIQAUa748,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,야몽이는 사실 사람이 아닐까? #강지 #감자툰 #고양이,2026-06-08T07:35:27Z,PT35S,538562,17357,425.0
yVwSB5uILFM,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,사장님 집은 아이돌 숙소가 아니에요;,2026-06-06T05:00:15Z,PT16M6S,165316,3792,182.0
3_EnlJIReq8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,여기에 엄지 대보셈 #강지 #쇼츠 #밈,2026-06-04T07:00:24Z,PT16S,182261,7875,254.0
DDLGDL_obNg,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,도티님도 처음 보는 유형의 회사 [모라하지마! 서버 - 2 (完)],2026-06-03T07:13:50Z,PT22M45S,249007,5162,268.0
