name_ko,followers,streams_per_week,hours_per_week,avg_duration_h,night_share,game_share,avg_vod_views,growth
사키하네 후야,165097,5.18,26.0,5.03,0.381,0.313,3565,0.05327727661311932
유즈하 리코,217580,4.91,34.1,6.95,0.667,0.38,4503,0.03936180376421139
하나코 나나,215276,4.29,22.7,5.29,0.52,0.737,3954,0.03781980514002248
아오쿠모 린,227073,4.56,21.4,4.71,0.653,0.873,3968,0.03635193603154607
아카네 리제,260959,4.7,23.3,4.96,0.653,0.517,3727,0.03186635033610119
네네코 마시로,216488,5.21,25.2,4.83,0.223,0.423,3337,0.0317648684843892
아라하시 타비,263119,5.24,38.8,7.42,0.663,0.507,5559,0.03051772824652299
텐코 시부키,247827,5.01,35.5,7.08,0.807,0.713,6818,0.02782028790763058
아야츠노 유니,307601,5.6,35.7,6.37,0.457,0.257,3886,0.018802745061671233
시라유키 히나,240841,5.92,36.2,6.12,0.707,0.387,5855,0.016863207049276463
