event_id,date,title,type,name_ko,metric,before_per_day,after_per_day,change_pct
2026-09-02_커버곡_라일락ライラックMrsGREENAPPLE유즈하,2026-09-02,라일락[ライラック] - Mrs. GREEN APPLE / 유즈하 리코 (Yuzuha Riko) cover,커버곡,유즈하 리코,치지직 팔로워,296.5,186.5,-37.1
2026-09-02_커버곡_mosimosi楽音사사네텐코시부키TenkoS,2026-09-02,mosi mosi? (楽音 / 사사네)  / 텐코 시부키(Tenko Shibuki) cover,커버곡,텐코 시부키,치지직 팔로워,249.9,159.2,-36.3
2026-09-01_커버곡_아틀란티스소녀AtlantisPrincess시,2026-09-01,아틀란티스 소녀 (Atlantis Princess) | 시라유키 히나 Cover,커버곡,시라유키 히나,치지직 팔로워,27.9,125.6,349.8
2026-09-01_커버곡_구르는바위네게아침이내린다결속밴드転がる岩君に朝,2026-09-01,"구르는 바위, 네게 아침이 내린다 [결속밴드 / 転がる岩、君に朝が降る] - 네네코 마시로 Cover",커버곡,네네코 마시로,치지직 팔로워,177.8,195.0,9.7
2026-08-31_커버곡_푸른산호초青い珊瑚礁松田聖子l사키하네후야Sak,2026-08-31,푸른 산호초(青い珊瑚礁) - 松田 聖子 l 사키하네 후야(Sakihane Huya) Cover,커버곡,사키하네 후야,치지직 팔로워,123.4,308.4,149.9
2026-08-31_커버곡_HighHopesPanicAtTheDisco,2026-08-31,High Hopes - Panic! At The Discoㅣ아라하시 타비 Cover,커버곡,아라하시 타비,치지직 팔로워,165.1,266.1,61.2
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,네네코 마시로,치지직 팔로워,116.9,134.0,14.6
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,사키하네 후야,치지직 팔로워,123.4,192.4,55.9
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,시라유키 히나,치지직 팔로워,-40.9,67.0,-263.7
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,아라하시 타비,치지직 팔로워,165.1,234.4,42.0
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,아야츠노 유니,치지직 팔로워,100.1,115.2,15.1
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,아카네 리제,치지직 팔로워,127.5,188.0,47.5
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,유즈하 리코,치지직 팔로워,206.0,168.8,-18.1
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,텐코 시부키,치지직 팔로워,125.1,142.8,14.2
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),신의상,하나코 나나,치지직 팔로워,225.6,139.6,-38.1
2026-08-29_커버곡_콧치노켄토네기꺼이はいよろこんでこっちのけんとㅣ,2026-08-29,"콧치노 켄토 - 네, 기꺼이 [はいよろこんで / こっちのけんと]ㅣ네네코 마시로 x 텐코 시부키 Cover",커버곡,네네코 마시로,치지직 팔로워,67.9,476.9,602.1
2026-08-22_커버곡_4K숨바꼭질かくれんぼAliA유즈하리코Yuzu,2026-08-22,[4K] 숨바꼭질 かくれんぼ - AliA / 유즈하 리코 Yuzuha Riko cover,커버곡,유즈하 리코,치지직 팔로워,97.1,181.7,87.0
2026-09-02_커버곡_라일락ライラックMrsGREENAPPLE유즈하,2026-09-02,라일락[ライラック] - Mrs. GREEN APPLE / 유즈하 리코 (Yuzuha Riko) cover,커버곡,유즈하 리코,유튜브 구독자,250.0,166.7,-33.3
2026-09-02_커버곡_mosimosi楽音사사네텐코시부키TenkoS,2026-09-02,mosi mosi? (楽音 / 사사네)  / 텐코 시부키(Tenko Shibuki) cover,커버곡,텐코 시부키,유튜브 구독자,166.7,166.7,0.0
2026-09-01_커버곡_아틀란티스소녀AtlantisPrincess시,2026-09-01,아틀란티스 소녀 (Atlantis Princess) | 시라유키 히나 Cover,커버곡,시라유키 히나,유튜브 구독자,0.0,142.9,
