event_id,date,title,name_ko,event_peak_ccu,usual_peak_ccu,ccu_multiple
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),네네코 마시로,28071,3114,9.01
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),사키하네 후야,38402,2267,16.94
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),시라유키 히나,4448,3837,1.16
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),아라하시 타비,38237,4409,8.67
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),아야츠노 유니,3032,3988,0.76
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),유즈하 리코,3503,3107,1.13
2026-08-31_신의상_스텔여름휴가신의상릴레이공개9명,2026-08-31,스텔 여름 휴가 신의상 릴레이 공개 (9명),하나코 나나,24385,3222,7.57
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,네네코 마시로,7068,3073,2.3
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,사키하네 후야,4734,2179,2.17
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,시라유키 히나,3339,4046,0.83
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,아라하시 타비,5844,4345,1.34
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,아야츠노 유니,5015,3920,1.28
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,아오쿠모 린,5957,3415,1.74
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,유즈하 리코,3861,3050,1.27
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,텐코 시부키,7381,4731,1.56
2026-08-29_합방_마인크래프트,2026-08-29,마인크래프트,하나코 나나,4472,3189,1.4
